word,where,inscription,corpus_id,reading,meaning,confidence,group,allowance,note,root,root_kind,languages
QA-QA-RU,"§4.3 n.13, p.8",HT 93a,HT93a,qaqqaru,ground,,exact,,"consonants copied from qaqqaru ""ground"" (n.13, p.8); the paper does not say which language qaqqaru belongs to",q-q-r,from comparison word,
U-NA-KA-NA-SI,"§5.1, p.9",IO Za 2,IOZa2,hunna kanasī,"behold, my assembly!",,exact,,n.16 (p.9) writes the root v k-n-s/s,k-n-s,stated,Akkadian | Arabic | Aramaic | Hebrew | Phoenician | Proto-Semitic | Ugaritic
U-NA-RU-KA-NA-SI,"§5.1, p.9",IO Za 16,IOZa16,hunna lū kanasī,"behold, may my assembly gather!",,exact,,,k-n-s,stated,Akkadian | Hebrew | Ugaritic
RA-KI-NI-SE,"§5.1, p.9",SY Zb 7,SYZb7,la-kinnisēt,for the assembly,,exact,,"read la-kinniset ""for the assembly"" in the sentence that states v k-n-s (p.9)",k-n-s,stated,
I-PI-NA-MA,"§5.2, p.10",IO Za 2,IOZa2,ʾipinama,in the presence of,,exact,,"p.10 also prints v w-j-h, but explicitly as the root of the Arabic word wajh, not of I-PI-NA-MA",p-n-y,stated,Akkadian | Arabic | Hebrew | Phoenician | Punic | Ugaritic
SI-RU-TE,"§5.3, pp.10-11",IO Za 2,IOZa2,šīrūt,"sacred worship, ministry",,exact,,,š-r-t,stated,Hebrew
TA-NA-RA-TE-U-TI-NU,"§6.1, pp.12-13",IO Za 2,IOZa2,tana-raṣē-ū-tī-nū,may she be accepted for you,,exact,,,r-ṣ-y,stated,Akkadian | Amarna Canaanite | Arabic | Berber | Hebrew | Proto-Semitic | Ugaritic
A-RE-TU-MI,"§6.1, p.12",ZA 7a,ZA7a,ʾarṣ-ummī,Earth is my mother,,exact,,the reading *ʾars-ummi is the paper's own; no root is printed at p.12 (cf. v ʾ-r-s at A-RA-TU in Appendix B),,none,Akkadian | Greek | Lydian | Mycenaean Greek
*301-SI,"§4.1 n.10, p.5",TI Zb 1,TIZb1,nāśī,prince,,exact,,,n-ś-ʾ,stated,
TE-*301,"§4.1 n.10, p.5",HT 8a,HT8a,tēna,fig,,exact,,,t-ʾ-n,stated,
NA-TU-*301-NE,"§4.1 n.10, p.5",SKO Zc 1,SKOZc1,natūnān,the dedicated one,,exact,,,n-t-n,stated,
A-TA-I-NA-WA-JA,"§7 table, p.14",IO Za 2,IOZa2,ʾatainawaya,I make myself a dwelling,,"same word, different spelling",paper writes NA where the corpus writes *301,"corpus has A-TA-I-*301-WA-JA; this row is a table cell and prints no root; root and languages carried from §4.1 (pp.4-6), where the paper discusses A-TA-I-*301-WA-JA",n-w-y,stated,Akkadian | Arabic | Geʿez | Greek | Hebrew | Mycenaean Greek | Phoenician | Ugaritic
JA-DI-KI-TU,"§7 table, p.14",IO Za 2,IOZa2,yā Diqqitu,O Diqqitu!,,exact,,"this row is a table cell and prints no root; root and languages carried from §4.2 (pp.6-7), where the paper discusses JA-DI-KI-TU",d-q-q,stated,Arabic | Greek | Hebrew | Mycenaean Greek | Ugaritic
JA-SA-SA-RA-ME,"§7 table, p.14",IO Za 2,IOZa2,yašāram,in (the spirit of) righteousness,,exact,,"this row is a table cell and prints no root; root and languages carried from §4.3 (pp.7-8), where the paper discusses JA-SA-SA-RA-ME",y-š-r,stated,Akkadian | Amorite | Hebrew
U-NA-KA-NA-SI,"§7 table, p.14",IO Za 2,IOZa2,hunna kanasī,"Behold, my assembly!",,exact,,"this row is a table cell and prints no root; root and languages carried from §5.1 (p.9), where the paper discusses U-NA-KA-NA-SI",k-n-s,stated,Akkadian | Arabic | Aramaic | Hebrew | Phoenician | Proto-Semitic | Ugaritic
I-PI-NA-MA,"§7 table, p.14",IO Za 2,IOZa2,ʾipinama,in the presence of,,exact,,"this row is a table cell and prints no root; root and languages carried from §5.2 (p.10), where the paper discusses I-PI-NA-MA",p-n-y,stated,Akkadian | Arabic | Hebrew | Phoenician | Punic | Ugaritic
SI-RU-TE,"§7 table, p.14",IO Za 2,IOZa2,šīrūt,sacred worship,,exact,,"this row is a table cell and prints no root; root and languages carried from §5.3 (pp.10-11), where the paper discusses SI-RU-TE",š-r-t,stated,Hebrew
TA-NA-RA-TE-U-TI-NU,"§7 table, p.14",IO Za 2,IOZa2,tana-raṣē-ū-tī-nū,May she be accepted for you,,exact,,"this row is a table cell and prints no root; root and languages carried from §6.1 (pp.12-13), where the paper discusses TA-NA-RA-TE-U-TI-NU",r-ṣ-y,stated,Akkadian | Amarna Canaanite | Arabic | Berber | Hebrew | Proto-Semitic | Ugaritic
I,"§7 table, p.14",IO Za 2,IOZa2,(CH008),"""hand"" (left untranslated)",,exact,,"the paper gives this form no reading anywhere, so no root and no comparison language",,none,
SI-KI-NE,"§7, p.14",HT 116a,HT116a,šikinēt,"recipient title, cf. Linear B potnia",,exact,,"n.22 (p.14) states v s-k-n for sekina ""divine indwelling""; the paper reads SI-KI-NE as sikinet in the same passage but does not write the root against it",š-k-n,stated,Hebrew | Mycenaean Greek
TU-ME,"§7, p.15",PK Za 14,PKZa14,tōm,perfection (tōm wāyōšer),,exact,,"consonants copied from Hebrew tom (Psalm 25:21, p.15)",t-m,from comparison word,Hebrew
TU-ME-I,"§7, p.15",PK Za 8,PKZa8,tōm,perfection,,exact,,"consonants copied from Hebrew tom (Psalm 25:21, p.15)",t-m,from comparison word,Hebrew
DU-RA-RE,"§7, p.15",KN Zc 7,KNZc7,(√d-r-r),"to purify, be free",,exact,,,d-r-r,stated,
A-TH-RA,"§7, p.15",KN Zc 7,KNZc7,ʾAṯirat,Athirat,,"same word, different spelling","AB79: paper writes TH, corpus writes ZU",corpus has A-ZU-RA; the paper gives the divine name ʾAthirat but no root and no comparison word,,none,
JA-SA-RA,"§7, p.15",KN Zc 7,KNZc7,yašar-,righteous,,different word breaks,,"corpus writes it inside the longer word JA-SA-RA-A-NA-NE; root stated for this word in Appendix A, p.36",y-š-r,stated,
A-TA-I-*301-WA-JA,"§8 table, p.16",IO Za 2,IOZa2,,"position 1, invocation",,exact,,"this row is a table cell and prints no root; root and languages carried from §4.1 (pp.4-6), where the paper discusses A-TA-I-*301-WA-JA",n-w-y,stated,Akkadian | Arabic | Geʿez | Greek | Hebrew | Mycenaean Greek | Phoenician | Ugaritic
JA-DI-KI-TU,"§8 table, p.16",IO Za 2,IOZa2,,"position 2, deity/site",,exact,,"this row is a table cell and prints no root; root and languages carried from §4.2 (pp.6-7), where the paper discusses JA-DI-KI-TU",d-q-q,stated,Arabic | Greek | Hebrew | Mycenaean Greek | Ugaritic
JA-SA-SA-RA-ME,"§8 table, p.16",IO Za 2,IOZa2,,"position 3, righteousness",,exact,,"this row is a table cell and prints no root; root and languages carried from §4.3 (pp.7-8), where the paper discusses JA-SA-SA-RA-ME",y-š-r,stated,Akkadian | Amorite | Hebrew
U-NA-KA-NA-SI,"§8 table, p.16",IO Za 2,IOZa2,,"position 4, gathering",,exact,,"this row is a table cell and prints no root; root and languages carried from §5.1 (p.9), where the paper discusses U-NA-KA-NA-SI",k-n-s,stated,Akkadian | Arabic | Aramaic | Hebrew | Phoenician | Proto-Semitic | Ugaritic
I-PI-NA-MA,"§8 table, p.16",IO Za 2,IOZa2,,"position 5, presence",,exact,,"this row is a table cell and prints no root; root and languages carried from §5.2 (p.10), where the paper discusses I-PI-NA-MA",p-n-y,stated,Akkadian | Arabic | Hebrew | Phoenician | Punic | Ugaritic
SI-RU-TE,"§8 table, p.16",IO Za 2,IOZa2,,"position 6, sacred ministry",,exact,,"this row is a table cell and prints no root; root and languages carried from §5.3 (pp.10-11), where the paper discusses SI-RU-TE",š-r-t,stated,Hebrew
TA-NA-RA-TE-U-TI-NU,"§8 table, p.16",IO Za 2,IOZa2,,"position 7, petition",,exact,,"this row is a table cell and prints no root; root and languages carried from §6.1 (pp.12-13), where the paper discusses TA-NA-RA-TE-U-TI-NU",r-ṣ-y,stated,Akkadian | Amarna Canaanite | Arabic | Berber | Hebrew | Proto-Semitic | Ugaritic
TA-NA-I-*301-U-TI-NU,"§8 table, p.16",IO Za 6,IOZa6,,"position 1, invocation",,exact,,"this row is a table cell and prints no root; root and languages carried from §8 (p.16), where the paper discusses TA-NA-I-NA-U-TI-NU",ʿ-n-y,stated,Hebrew | Ugaritic
I-NA-TA,"§8 table, p.16",IO Za 6,IOZa6,ʿInat,"position 2, deity; Anat",,different word breaks,,corpus writes it inside the longer word I-NA-TA-I-ZU-DI-SI-KA; n.26 (p.16) states the root; n.27 (p.17) adds the Amorite/Akkadian Hanat material,ʿ-n-y,stated,Akkadian | Amorite | Hebrew | Ugaritic
I-*79-DI-SI-KA,"§8 table, p.16",IO Za 6,IOZa6,,"position 2, deity/site (cont.)",,different word breaks,"AB79: paper writes *79, corpus writes ZU","corpus writes it inside the longer word I-NA-TA-I-ZU-DI-SI-KA; this row is a table cell and prints no root; root and languages carried from §8 (p.17), where the paper discusses I-TH-DI-SI-KA",ṯ-d,from comparison word,Ugaritic
JA-SA-SA-RA-ME,"§8 table, p.16",IO Za 6,IOZa6,,"position 3, righteousness",,exact,,"this row is a table cell and prints no root; root and languages carried from §4.3 (pp.7-8), where the paper discusses JA-SA-SA-RA-ME",y-š-r,stated,Akkadian | Amorite | Hebrew
A-TA-I-*301-WA-JA,"§8 table, p.16",TL Za 1,TLZa1,,"position 1, invocation",,exact,,"this row is a table cell and prints no root; root and languages carried from §4.1 (pp.4-6), where the paper discusses A-TA-I-*301-WA-JA",n-w-y,stated,Akkadian | Arabic | Geʿez | Greek | Hebrew | Mycenaean Greek | Phoenician | Ugaritic
O-SU-QA-RE,"§8 table, p.16",TL Za 1,TLZa1,,"position 2, deity/site",,exact,,read as the Egyptian god name Sukar/Sokar (p.17); Coptic Sokar is cited for the later form,,none,Egyptian
JA-SA-SA-RA-ME,"§8 table, p.16",TL Za 1,TLZa1,,"position 3, righteousness",,exact,,"this row is a table cell and prints no root; root and languages carried from §4.3 (pp.7-8), where the paper discusses JA-SA-SA-RA-ME",y-š-r,stated,Akkadian | Amorite | Hebrew
U-NA-KA-NA,"§8 table, p.16",TL Za 1,TLZa1,,"position 4, gathering",,exact,,"the paper gives this form no reading anywhere, so no root and no comparison language",,none,
I-PI-NA-MA,"§8 table, p.16",TL Za 1,TLZa1,,"position 5, presence",,exact,,"this row is a table cell and prints no root; root and languages carried from §5.2 (p.10), where the paper discusses I-PI-NA-MA",p-n-y,stated,Akkadian | Arabic | Hebrew | Phoenician | Punic | Ugaritic
SI-RU-TE,"§8 table, p.16",TL Za 1,TLZa1,,"position 6, sacred ministry",,exact,,"this row is a table cell and prints no root; root and languages carried from §5.3 (pp.10-11), where the paper discusses SI-RU-TE",š-r-t,stated,Hebrew
A-TA-I-*301-WA-JA,"§8 table, p.16",KO Za 1,KOZa1,,"position 1, invocation",,exact,,"this row is a table cell and prints no root; root and languages carried from §4.1 (pp.4-6), where the paper discusses A-TA-I-*301-WA-JA",n-w-y,stated,Akkadian | Arabic | Geʿez | Greek | Hebrew | Mycenaean Greek | Phoenician | Ugaritic
TU-RU-SA,"§8 table, p.16",KO Za 1,KOZa1,,"position 2, deity/site",,exact,,,t-r-s,stated,Egyptian
DU-*314-RE,"§8 table, p.16",KO Za 1,KOZa1,,"position 2, deity/site (cont.)",,exact,,"Arabic dhu is cited for the DU- element, not for the root",ḥ-r-r,stated,Arabic
I-DA-A,"§8 table, p.16",KO Za 1,KOZa1,,"position 2, deity/site (cont.)",,exact,,"n.31 (p.17) compares Semitic *yad, Hebrew yad, Akkadian idu, and Greek daktyloi, but prints no root for I-DA-A",,none,Akkadian | Greek | Hebrew
U-NA-KA-NA-SI,"§8 table, p.16",KO Za 1,KOZa1,,"position 4, gathering",,exact,,"this row is a table cell and prints no root; root and languages carried from §5.1 (p.9), where the paper discusses U-NA-KA-NA-SI",k-n-s,stated,Akkadian | Arabic | Aramaic | Hebrew | Phoenician | Proto-Semitic | Ugaritic
I-PI-NA-MA,"§8 table, p.16",KO Za 1,KOZa1,,"position 5, presence",,exact,,"this row is a table cell and prints no root; root and languages carried from §5.2 (p.10), where the paper discusses I-PI-NA-MA",p-n-y,stated,Akkadian | Arabic | Hebrew | Phoenician | Punic | Ugaritic
SI-RU-TE,"§8 table, p.16",KO Za 1,KOZa1,,"position 6, sacred ministry",,exact,,"this row is a table cell and prints no root; root and languages carried from §5.3 (pp.10-11), where the paper discusses SI-RU-TE",š-r-t,stated,Hebrew
A-TA-I-*301-WA-E,"§8 table, p.16",PK Za 11,PKZa11,,"position 1, invocation",,exact,,"this row is a table cell and prints no root; root and languages carried from Appendix B (p.37), where the paper discusses A-TA-I-*301-WA-E",n-w-y,stated,
A-DI-KI-TE-TE,"§8 table, p.16",PK Za 11,PKZa11,,"position 2, deity/site",,exact,,"this row is a table cell and prints no root; root and languages carried from Appendix B (p.36), where the paper discusses A-DI-KI-TE-TE",d-q-q,stated,Ugaritic
SA-SA-RA-ME,"§8 table, p.16",PK Za 11,PKZa11,,"position 3, righteousness",,exact,,p.18 gives it as the Palaikastro form of JA-SA-SA-RA-ME with the initial JA dropped,y-š-r,stated,
U-NA-RU-KA-NA-TI,"§8 table, p.16",PK Za 11,PKZa11,,"position 4, gathering",,exact,,"this row is a table cell and prints no root; root and languages carried from Appendix B (p.40), where the paper discusses U-NA-RU-KA-NA-TI",k-n-s,stated,
I-PI-NA-MI-NA,"§8 table, p.16",PK Za 11,PKZa11,,"position 5, presence",,exact,,"this row is a table cell and prints no root; root and languages carried from Appendix B (p.38), where the paper discusses I-PI-NA-MI-NA",p-n-y,stated,Hebrew
SI-RU,"§8 table, p.16",PK Za 11,PKZa11,,"position 6, sacred ministry",,exact,,"the paper gives this form no reading anywhere, so no root and no comparison language",,none,
A-TA-I-*301-WA-JA,"§8 table, p.16",SY Za 3,SYZa3,,"position 1, invocation",,exact,,"this row is a table cell and prints no root; root and languages carried from §4.1 (pp.4-6), where the paper discusses A-TA-I-*301-WA-JA",n-w-y,stated,Akkadian | Arabic | Geʿez | Greek | Hebrew | Mycenaean Greek | Phoenician | Ugaritic
SE-KA-NA-SI,"§8 table, p.16",SY Za 3,SYZa3,,"position 4, gathering",,exact,,"the paper gives this form no reading anywhere, so no root and no comparison language",,none,
SI-RU-TE,"§8 table, p.16",SY Za 3,SYZa3,,"position 6, sacred ministry",,exact,,"this row is a table cell and prints no root; root and languages carried from §5.3 (pp.10-11), where the paper discusses SI-RU-TE",š-r-t,stated,Hebrew
TA-NA-I-NA-U-TI-NU,"§8, p.16",IO Za 6,IOZa6,tanainautīnū,may she answer for you,,"same word, different spelling",paper writes NA where the corpus writes *301,"corpus has TA-NA-I-*301-U-TI-NU; p.16 reads the first position as ""a verb from the root v ʿ-n-y""",ʿ-n-y,stated,Hebrew | Ugaritic
I-NA-TA,"§8, p.16",IO Za 6,IOZa6,ʿInat,"Anat, ""she who answers""",,different word breaks,,corpus writes it inside the longer word I-NA-TA-I-ZU-DI-SI-KA; n.26 (p.16) states the root; n.27 (p.17) adds the Amorite/Akkadian Hanat material,ʿ-n-y,stated,Akkadian | Amorite | Hebrew | Ugaritic
I-TH-DI-SI-KA,"§8, p.17",IO Za 6,IOZa6,I-Ṯadi Siqqa,the breast that gives drink,,different word breaks,"AB79: paper writes TH, corpus writes ZU","corpus writes it inside the longer word I-NA-TA-I-ZU-DI-SI-KA; consonants copied from Ugaritic td ""breast"" (n.28, p.17); the paper prints no radical sign",ṯ-d,from comparison word,Ugaritic
O-SU-QA-RE,"§8, p.17",TL Za 1,TLZa1,ʾO-Sukar,the Egyptian god Sokar,,exact,,read as the Egyptian god name Sukar/Sokar (p.17); Coptic Sokar is cited for the later form,,none,Egyptian
TU-RU-SA,"§8, p.17",KO Za 1,KOZa1,(√t-r-s),"to shield, protect, fortify",,exact,,,t-r-s,stated,Egyptian
DU-*314-RE,"§8, p.17",KO Za 1,KOZa1,dū-ḥurre,the one of the noble/freeborn,,exact,,"Arabic dhu is cited for the DU- element, not for the root",ḥ-r-r,stated,Arabic
I-DA-A,"§8, p.17",KO Za 1,KOZa1,Ida + hē locale,toward Ida,,exact,,"n.31 (p.17) compares Semitic *yad, Hebrew yad, Akkadian idu, and Greek daktyloi, but prints no root for I-DA-A",,none,Akkadian | Greek | Hebrew
AU-SI-RE,"§8 n.29, p.17",PH(?) 31a,PH(?)31a,Ousire,Osiris,,exact,,read as Osiris; Coptic Ousire is cited,,none,Egyptian
MA-DI,"§8 n.29, p.17",PH(?) 31a,PH(?)31a,mōʿēd,appointed festival,,exact,,"consonants copied from Hebrew moʿed ""appointed festival"" (n.29, p.17)",m-ʿ-d,from comparison word,Hebrew
JE-DI,"§8 n.31, p.17",HT (4 attestations),,yedī,the Idaean,,no inscription given,,"paper cites ""HT (4 attestations)"" but gives no inscription id; consonants copied from Hebrew yad ""hand"" (n.31, p.17); the paper writes the reconstruction as *yad, not as a root",y-d,from comparison word,Akkadian | Greek | Hebrew
A-SA-MU-NE,"§8, p.18",ZA Zb 3,ZAZb3,ʾAšmun,the god Eshmun,,exact,,read as the god name Ashmun/Eshmun (p.18); n.33 adds the Punic-Greek-Latin trilingual from Sardinia,,none,Greek | Phoenician | Punic
A-TA-I-*301-DE-KA,"§8, p.18",ZA Zb 3,ZAZb3,ʾata-iʿnay-dēka,who answered for you,,exact,,,ʿ-n-y,stated,Hebrew | Ugaritic
SA-SA-RA-ME,"§8, p.18",PK Za 11,PKZa11,(yašāram without JA-),righteousness; initial JA dropped,,exact,,p.18 gives it as the Palaikastro form of JA-SA-SA-RA-ME with the initial JA dropped,y-š-r,stated,
A-TA-NA,"§8, p.18",ZA 9,ZA9,(yatan-),She-who-gives,,exact,,,y-t-n,stated,Greek | Mycenaean Greek | Phoenician
DU-PU₂-RE,"§9, p.19",PK Za 11,PKZa11,dubur,sanctuary,,not found,,"corpus has: A-TA-I-*301-WA-E 𐄁 A-DI-KI-TE-TE 𐄁 𐄁 RE 𐄁 PI-TE-RI 𐄁 A-KO-A-NE 𐄁 A SA-SA-RA-ME 𐄁 U-NA-RU-KA-NA-TI 𐄁; p.19 writes ""v d-b-r's versatility""",d-b-r,stated,Geʿez | Hebrew | Mycenaean Greek
DU-PU₂-RE,"§9, p.19",PK Za 12,PKZa12,dubur,sanctuary,,not found,,"corpus has: A-TA-I-*301-WA-JA 𐄁 A-DI-KI-TE SI 𐄁 𐄁 RA-ME A-NE U-NA-RU-KA-JA-SI A-PA-DU-PA JA JA-PA-QA; p.19 writes ""v d-b-r's versatility""",d-b-r,stated,Geʿez | Hebrew | Mycenaean Greek
DU-PU₂-RE,"§9, p.19",PK Za 15,PKZa15,dubur,sanctuary,,different word breaks,,"corpus writes it inside the longer word JA-DI-KI-TE-TE-DU-PU₂-RE; p.19 writes ""v d-b-r's versatility""",d-b-r,stated,Geʿez | Hebrew | Mycenaean Greek
A-DI-KI-TE-TE,"§9, p.19",PK Za 11,PKZa11,(Diqqiṯe),Dikte (in the Petsofas sequence),,exact,,"root stated for this word in Appendix B, p.36",d-q-q,stated,
*307,"§9, p.19",HT 27a,HT27a,dubur,sanctuary/debir (logographic),,exact,,"p.19 reads *307 logographically for Semitic dubur, in the sentence that states v d-b-r",d-b-r,stated,Geʿez | Hebrew
TI-NI-TA,"§9, p.19",HT 27a,HT27a,Tinit,the Minoan serpent goddess,,exact,,"consonants copied from ""the Phoenician Goddess Tinit"" (p.8)",t-n-t,from comparison word,Phoenician
SU-KI-RI-TE-I-JA,"§10 n.41, p.21",HT Zb 158b,HTZb158b,(Sybrita + gentilic),the Keretian,,exact,,"read as a toponym plus a gentilic ending; no root and no comparison word (n.41, p.21; Appendix B, p.39)",,none,
A-DI-KI-TE-TE,"Appendix B, pp.36-40",PK Za 11,PKZa11,,Diktu,,exact,,,d-q-q,stated,Ugaritic
A-DU-RE-ZA,"Appendix B, pp.36-40",KH 11,KH11,,,,not found,,"corpus has: A-DU 𐄁 ZA CYP ¹⁄₁₆ SU 3 CYP+E 𐝇𐝉 VIN ≈ ¹⁄₆ *306 4 CYP ¹⁄₃ *348-CYP | paper states Davis mis-transcribed this; paper reads the tablet as A-DU | ZA; the entry says the word is not attested, and gives neither a root nor a comparison word",,none,
A-DU-KU-MI-NA,"Appendix B, pp.36-40",ZA 10a,ZA10a,,,,exact,,"consonants copied from Ugaritic Ṯukamuna (ṯkmn); the entry itself calls the word ""Unknown""",ṯ-k-m-n,from comparison word,Ugaritic
A-JA,"Appendix B, pp.36-40",SYZa2,SYZa2,,"alive,",,exact,,"the radical sign in this entry (v ḥ-y-y) is printed against the comparison form JA-JA, not against A-JA",ḥ-y-y,stated,Arabic | Hebrew
A-KU-MI-NA,"Appendix B, pp.36-40",ZA 10a,ZA10a,,,,exact,,"the entry reads ""Unknown; apparently related to the preceding form"" (A-DU-KU-MI-NA) and gives neither a root nor a comparison word",,none,
A-MI-DA-O,"Appendix B, pp.36-40",PH(?) 31b,PH(?)31b,,My kinsman(knows),,exact,,,ʿ-m-m | y-d-ʿ,stated,Amorite | Hebrew
A-MI-DA-U,"Appendix B, pp.36-40",ZA 10a,ZA10a,,My kinsman knows,,exact,,,ʿ-m-m | y-d-ʿ,stated,Amorite
A-NA-NU-SI-JA-SE,"Appendix B, pp.36-40",HTZb159,HTZb159,,ʿAnānu(’s)—whichgoesout,,exact,,,ʿ-n-n,stated,
A-NA-TI-*301-WA-JA,"Appendix B, pp.36-40",IO Za 8,IOZa8,,dwelling,,exact,,the entry reads ʿAnati nawaya but prints no root; v ʿ-n-y and v n-w-y are stated elsewhere in the appendix for the two elements,,none,
A-PA-RA-NE,"Appendix B, pp.36-40",HT 96a,HT96a,,"Hebrew,",,exact,,,ʿ-b-r,stated,Hebrew
A-RA-TU,"Appendix B, pp.36-40",ZA7,ZA7a,,"earth,",,exact,,other cited inscription(s) -> ZA7b: not found,ʾ-r-ṣ,stated,Hebrew | Ugaritic
A-RA-TU-ME,"Appendix B, pp.36-40",HTWc3024,HTWc3024,,earth,,exact,,,ʾ-r-ṣ,stated,Akkadian
A-RI-NI-TA,"Appendix B, pp.36-40",HT 25a,HT25a,,lion,,exact,,,ʾ-r-y,stated,Hebrew | Ugaritic
A-SA-SA-RA-ME,"Appendix B, pp.36-40","IOZb10 , PKZa11a–b",IOZb10,,beupright,,exact,,other cited inscription(s) -> PKZa11: different word breaks (corpus splits it as A + SA-SA-RA-ME (no word divider between them)),y-š-r,stated,Hebrew
A-SI-KI-RA,"Appendix B, pp.36-40",KH20,KH20,,strongdrink,,exact,,,š-k-r,stated,Hebrew
A-TA-I-*301-DE-KA,"Appendix B, pp.36-40",ZA Zb 3,ZAZb3,,who answered for you,,exact,,,ʿ-n-y,stated,Hebrew | Ugaritic
